3.316317967382173548e-02,-3.157852311828310971e-02,7.050508324306393631e-06
1.602375294012390317e-01,9.988986244379069457e-02,-7.705252576684815894e-04
4.363364118657394597e-01,2.035570932084536655e-01,-1.196216956139068473e-03
5.820153015211119163e-01,3.055204681850027248e-01,-1.638855825210047473e-03
7.864919885227659169e-01,2.682316656110215192e-01,-1.885625606226715894e-03
1.019572561855118131e+00,4.482468415326349431e-01,-2.170546790792811636e-03
1.136478300367230077e+00,6.116836905478385544e-01,-2.354575476440549583e-03
1.338059247944325847e+00,1.044157314489855048e+00,-2.399177693119453492e-03
1.473074028134123914e+00,9.154050471203890593e-01,-2.493531821283040059e-03
1.598758413083436691e+00,1.070503170812398652e+00,-2.593913484468221824e-03
1.769674456506652227e+00,1.342567949410130579e+00,-2.589718209137871485e-03
1.931752830362153839e+00,1.539785352237530214e+00,-2.542841320650838458e-03
2.085916173829269749e+00,1.663334204963879071e+00,-2.522925477942039758e-03
2.278173871039111287e+00,1.754017566672078310e+00,-2.538513925367882201e-03
2.523514033373152277e+00,1.843587976907017589e+00,-2.459009314099207862e-03
2.606069447071363232e+00,2.246661183562859154e+00,-2.518828937417452122e-03
2.690873099750989539e+00,2.241210320923787247e+00,-2.485269982430479002e-03
3.041016603721168998e+00,2.522873130664625041e+00,-2.502437350496912460e-03
3.177730164979883032e+00,2.698272974919467160e+00,-2.386159250258730082e-03
3.055610112716065085e+00,2.838298321739885388e+00,-2.323957866884212176e-03
3.541256927517987485e+00,2.918963141078377621e+00,-2.214712269824443362e-03
3.527005647645981679e+00,3.126027674571965509e+00,-2.287660664573440070e-03
3.863627784815283572e+00,3.224541299353835377e+00,-2.090685005795691297e-03
3.788296961188926559e+00,3.347751441906254843e+00,-2.133340257122582836e-03
4.055263769630976789e+00,3.485651854742167099e+00,-2.058359825313619586e-03
4.137986001120448343e+00,3.656226635505135825e+00,-1.877470357006490783e-03
4.220539189506693489e+00,3.709976416827755141e+00,-1.901673467215514966e-03
4.232346786644221481e+00,3.872229455867119530e+00,-1.738823794218924586e-03
4.214750398082286686e+00,4.085442326818412795e+00,-1.709599334197786646e-03
4.399729557840666772e+00,4.035597834732052469e+00,-1.587368400678374619e-03
4.494396699248714100e+00,4.305913655209250734e+00,-1.504021280675445910e-03
4.563267602075137930e+00,4.332784254335487084e+00,-1.466708068521047721e-03
4.679037180727894096e+00,4.532620532742408059e+00,-1.373586346202555980e-03
4.707032496596926130e+00,4.508351955372901898e+00,-1.231375142586820003e-03
4.652715763710450148e+00,4.577826867422572832e+00,-1.106919477993506366e-03
4.862630320921359939e+00,4.573651995798735825e+00,-1.047559028523758215e-03
5.064728044329966927e+00,4.830842814254597606e+00,-9.328919149833110516e-04
4.790775357887207875e+00,4.850684999476603920e+00,-8.928193539148334117e-04
4.902033663546229825e+00,4.861643837156249148e+00,-8.094399116209854191e-04
5.035944373287991382e+00,4.721703652977114807e+00,-6.328356303560257268e-04
4.950140061187631169e+00,5.052077699567093738e+00,-5.414580584154144111e-04
4.960136652598041707e+00,4.953841184071007930e+00,-4.227025108597466012e-04
4.955161023087817362e+00,4.894120819710894743e+00,-2.166837570609089021e-04
4.931540792724604216e+00,4.940802047491032134e+00,-1.706741874038567822e-04
4.910986401320768024e+00,4.942746461935710656e+00,-1.569676250607749931e-04
5.142717687944324823e+00,5.052052924511106546e+00,1.197373759293951392e-05
4.802081364576854305e+00,4.969439267420384887e+00,-3.828342237112853643e-05
4.836569423229725828e+00,4.966412190704389218e+00,1.422898256032390462e-04
4.777888400105789302e+00,4.988368338593969220e+00,2.819473531903961489e-04
4.696145865466389679e+00,4.928111425320076400e+00,5.207954184710050305e-04
4.885205427753326113e+00,4.794778392511585885e+00,4.947926049640071411e-04
4.668266290325987278e+00,4.829733098922182499e+00,6.945421011893478406e-04
4.689752446008682796e+00,4.686209706805839481e+00,6.055201958282043634e-04
4.616598238050528380e+00,4.789508629939632556e+00,7.856122574819138140e-04
